Projekt_numer;Projekt_zespół;ID. Części;Rewizja;Opis;Numer katalogowy;Materiał;Typ;Obróbka cieplna;Powłoka;Handlowe;Zużywające;Spawanie;Uwagi;Liczba odniesień
2010;710;PRT-A0070500-Lustro;A;-;-;PA13/3.3547;-;-;-;-;-;-;-;4
2010;710;PRT-A0070355;A;Gniazdo II;-;Tecaform AH ELS;CNC;-;-;-;Z;-;;4
2010;710;PRT-A0070426-Lustro;A;-;-;Tecaform AH ELS;-;-;-;-;-;-;-;4
2010;710;PRT-A0070500;A;Podstawa pod gniazdo;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;4
2010;710;PRT-A0070355-Lustro;A;-;-;Tecaform AH ELS;-;-;-;-;-;-;-;4
2010;710;PRT-A0070405;A;Gniazdo IV;-;Tecaform AH ELS;CNC;-;-;-;Z;-;;4
;;0000_Stanowiska_P znacznik;C;;;;;;;;;;;6
2010;723;PRT-A0072042;B;Slizg OP723;-;PA 6 /Poliamid;Skrawanie;-;Kolor: Zielony;-;Z;-;-;1
;;Tabliczka L35 KST 54x37;A;Tabliczka 74x37;;;;-;-;H;-;-;;6
;;0000_Stanowiska_Blokada trzpienia;C;;;;;;;;;;;12
;;0000_Stanowiska_Znacznik;C;;;;;;;;;;;6
2010;000;PRT-A0069840;A;Ślizg;-;0H18N9/1.4301;Laser;-;-;-;Z;-;-;10
2010;723;PRT-A0072040;A;Dystans paletki OP723;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;2
2010;723;PRT-A0072041;B;Slizg OP723;-;PA 6 /Poliamid;-;-;Kolor: Zielony;-;Z;-;-;1
;;092001;B;Uchwyt;092001;FATH;H. Mech.;-;-;H;-;-;-;22
;;K0364.3110040;B;Trzpień montażowy D=10;K0364.3110040;KIPP;H. Mech.;-;-;H;-;-;-;2
;;0000_Stanowiska_L znacznik;C;;;;;;;;;;;6
2010;000;PRT-A0071222-Lustro;B;Zawias 2;-;40HM/1.7225;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;-;2
2010;000;PRT-A0071229;A;Uchwyt gałki;-;2017(Pa6);Skrawanie;;Anodować;-;-;-;-;5
;;HGH15CAZOH;E;Wózek;HGH15CAZOH;HIWIN;H. Mech.;-;-;H;-;-;;10
2010;000;PRT-A0071228;A;Podkładka;-;1.0503 (C45);Skrawanie;;Czernić;-;-;-;-;20
2010;000;PRT-A0071212-Lustro;B;Płytka wózków;-;2017(Pa6);Skrawanie;-;Anodować;-;-;-;-;2
2010;720;PRT-A0071408;B;Prowadzenie śruby;-;4H13/1.4034;Skrawanie;32 HRC±2HRC;-;-;-;-;-;2
2010;000;PRT-A0071218;A;Uchwyt czujnika;-;PA6/3.1325;Skrawanie;;Anodować;-;-;-;;5
2010;000;PRT-A0071211;A;Wałek;-;2017(Pa6);Skrawanie;;Anodować;-;-;-;-;10
2010;000;PRT-A0073180;A;Mocowanie odbojnika;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;3
2010;000;PRT-A0071213;A;Podstawa;-;2017(Pa6);Skrawanie;;Anodować;-;-;-;-;5
;;RBC1007S;B;Amortyzator;RBC1007S;SMC;H. Mech.;-;-;H;-;-;-;5
2010;000;PRT-A0071237;B;Kostaka blokady 2;-;C45/1.0503;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;-;3
2010;000;PRT-A0071220;A;Tulejka;-;C45/1.0503;Skrawanie;32 HRC ±2HRC;Czernić;-;-;-;-;10
;;bez łba, koniec płaski M5x50;D;Śruba;DIN 913;FABORY;H. Mech.;-;-;H;-;-;kl. 8.8;5
;;K0201.120053;A;Uchwyt pałąkowy okrągły;K0201.120053;KIPP;H. Mech.;-;-;H;-;-;;5
2010;000;PRT-A0071223;B;Zawias 1;-;40HM/1.7225;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;;3
2010;000;PRT-A0071226;A;Mocowanie zwiasu;-;C45/1.0503;Skrawanie;-;Czernić;-;-;-;-;5
;;000.MAG.22.M5;B;Kostka zderzaka;000.MAG.22.M5;45/1.0530;Promatik;-;Czernić;O;-;-;-;30
;;K0105.16;B;Nakładka ochronna;K0105.16;KIPP;H. Mech.;-;-;H;-;-;-;5
2010;000;PRT-A0071216;A;Trzpień blokujący;-;40HM/1.7225;Skrawanie;40 HRC±2HRC;Czernić;-;-;-;;5
2010;000;PRT-A0071238;A;Kostka uchwytu;;PA11/3.3535;;;Anodować;-;-;-;;10
2010;000;PRT-A0071224;A;Tulejka bazująca;-;B101 /CuSn10P;Skrawanie;;;-;-;-;;5
2010;000;PRT-A0071209-Lustro;B;Płytka górna;-;2017(Pa6);Skrawanie;-;Anodować;-;-;-;-;2
2010;720;PRT-A0071407-Lustro;A;Płyta klapki;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;1
2010;000;PRT-A0071236;A;Sprężyna naciskowa;;TEVEMA;;;;-;-;-;;10
2010;000;PRT-A0071221;A;Mocowanie zwiasu;-;C45/1.0503;Skrawanie;32 HRC ±2HRC;Czernić;-;-;-;-;5
2010;000;PRT-A0071247;A;Zderzak płaski;-;C45/1.0503;Laser;-;Czernić;-;-;-;-;4
2010;000;PRT-A0071215;B;Płyta pionowa;-;2017(Pa6);Skrawanie;;Anodować;-;-;-;-;5
;;W 638_8-2Z;A;Łożysko;W 638_8-2Z;SKF;H. Mech.;-;-;H;-;-;-;40
;;BES003P;C;Czujnik indukcyjny M8 (2mm);BES M08MI-PSC20B-S49G;BALLUFF;H. Elek.;-;-;H;-;-;-;5
2010;000;PRT-A0071217-Lustro;B;Kostka siłownika;-;C45/1.0503;Skrawanie;-;Czernić;-;-;-;-;2
2010;000;PRT-A0071222;B;Zawias 2;-;40HM/1.7225;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;;3
;;bez łba, koniec płaski M6x20;D;Śruba;DIN 913;FABORY;H. Mech.;-;-;H;-;-;kl. 8.8;10
;-;K0373.1202006;0;Sworzeń sprężysty;;KIPP;H. Mech.;-;-;H;-;-;;5
2010;000;PRT-A0071214;A;Wspornik;-;REXROTH;Skrawanie;;Czernić;-;-;-;-;10
2010;000;PRT-A0071227;A;Zderzak sprężyny;-;C45/1.0503;Skrawanie;40 HRC ±2HRC;Czernić;-;-;-;;5
;;BES01YE;A;Czujnik indukc.;BES01YE;BALLUFF;H. Elek.;-;-;H;-;-;-;5
;;K0726.081;C;Rekojeść;K0726.081;KIPP;H. Mech.;-;-;H;-;-;-;5
2010;000;PRT-A0071209;B;Płytka górna;-;2017(Pa6);Skrawanie;;Anodować;-;-;-;-;3
2010;000;PRT-A0071223-Lustro;B;Zawias 1;-;40HM/1.7225;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;-;2
;;Φ8x40;I;Śruba pasowana;Φ8-M6-40;KIPP;H. Mech.;-;-;H;-;-;-;10
2010;000;PRT-A0071230;A;Tulejka;-;B101 /CuSn10P;Skrawanie;;;-;-;-;;5
2010;000;PRT-A0071210;A;Napinacz sprężyn;-;C45/1.0503;Skrawanie;;Czernić;-;-;-;-;5
;;CDQ2B20-20DZ;B;Siłownik;CDQ2B20-20DZ;SMC;H. Mech.;-;-;H;-;-;-;5
;;walcowy 5x16;H;Kołek;DIN 6325;FABORY;H. Mech.;-;-;H;-;-;;5
2010;720;PRT-A0071407;A;Płyta klapki;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;1
2010;000;PRT-A0073180-Lustro;A;Mocowanie odbojnika;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;2
2010;000;PRT-A0071212;B;Płytka wózków;-;2017(Pa6);Skrawanie;;Anodować;-;-;-;-;3
2010;000;PRT-A0071217;B;Kostka siłownika;-;C45/1.0503;Skrawanie;-;Czernić;-;-;-;-;3
2010;000;PRT-A0071219;A;Osłonka czujnika;-;PA13/3.3547;Skrawanie;;Anodować;-;-;-;-;5
;;Śruba dociskowa K0103.05038;A;Śruba dociskowa;K0103.05038;KIPP;H. Mech.;-;-;H;-;-;-;5
2010;000;PRT-A0071237-Lustro;B;Kostaka blokady 2;-;C45/1.0503;Skrawanie;32 HRC±2HRC;Czernić;-;-;-;-;2
2010;000;PRT-A0071225;A;Kostka wałków;-;1.0503 (C45);Skrawanie;;Czernić;-;-;-;-;5
;;HGR15R L=115mm 2 otw. sym.;K;Szyna;HGR15R;HIWIN;H. Mech.;-;-;H;-;-;-;10
;;bez łba, koniec płaski M5x25;D;Śruba;DIN 913;FABORY;H. Mech.;-;-;H;-;-;kl. 8.8;30
;;K0102.06050;B;Śruba dociskowa;K0102.06050;KIPP;H. Mech.;-;-;H;-;-;-;5
;;E3Z-LL81 2m;C;Czujnik laserowy E3Z;E3Z-LL81;OMRON;H. Elek.;-;-;H;-;-;Sensing distance: 300 mm, Sensing distance (min.)20 mm;2
2010;720;PRT-A0071428-Lustro;A;Mocowanie czujnika;-;PA6/3.1325;Skrawanie;-;Anodować;-;-;-;-;1
2010;000;PRT-A0069834;B;Ślizg;-;PA 6 /Poliamid;CNC;-;Kolor: Zielony;-;Z;-;-;4
2010;710;PRT-A0070598;A;Mocowanie skanera;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;2
;;BPI00CM;B;Koncentrator;BPI00CM;Balluff;H. Elek.;-;-;H;-;-;;3
;-;DMR-280X-1121;0;Skaner kodów;-;COGNEX;H. Elek.;-;-;H;-;-;-;6
2010;720;PRT-A0071428;A;Mocowanie czujnika;-;PA6/3.1325;Skrawanie;-;Anodować;-;-;-;-;1
;;K0364.3110030;B;Trzpień montażowy D=10;K0364.3110030;KIPP;H. Mech.;-;-;H;-;-;-;8
2010;000;PRT-A0069836;A;Ślizg;-;PA 6 /Poliamid;Skrawanie;-;Kolor: Zielony;-;Z;-;-;8
;;09 30 024 0307;B;Obudowa gniazda;09 30 024 0307;HARTING;H. Mech.;-;-;H;-;-;-;3
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_1;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_14;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;1
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_9;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_23;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_21;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;1
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_20;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_12;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_3;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_22;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_18;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_11;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;OUTERLENS LH.1_OUTER_LENS_1ST_SHOOT_CLEAR_LH_24;A;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
;;PL82619002_20230424;A;Korpus VW 336_3 Tyron LH;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
-;-;PL82619002_20230424-Krzywe;0;-;-;Materiał <nieokreślony>;-;-;-;-;-;-;-;2
2010;000;PRT-A0069833;A;Dystans paletki;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;8
2010;720;PRT-A0070323;A;Paletka narzędzia OP720.1;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;1
2010;000;PRT-A0069835;B;Ślizg;-;PA 6 /Poliamid;CNC;-;Kolor: Zielony;-;Z;-;-;4
2010;710;PRT-A0070598-Lustro;A;-;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;2
2010;705;PRT-A0070071;A;Płyta narzędzia VW 336.3 G OP705;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;1
;;0002_Spadnie_Mocowanie_pokrętła;A;Mocowanie pokrętła;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;1
;;0002_Spadnie_Mocowanie_Czujnika_2;A;Mocowanie czujnika;-;S235JR/1.0037;Laser;-;wg wykazu;O;-;-;-;4
;;R40-PIA dł=2660;G;Rolotok;R40-PIA;FLEXLOGIK;H. Mech.;-;-;H;-;-;-;4
;;R40-SDI;B;Uchwyt rolotoku;R40-SDI;FLEXLOGIK;H. Mech.;-;-;H;-;-;-;8
;;E3Z-LS86;A;Czujnik fotoelektryczny;E3Z-LS86;OMRON;H. Elek.;-;-;H;-;-;-;8
;;RTG-3 L=2723;A;Banda;-;Flexlogik;H. Mech.;-;-;H;-;-;-;4
;;R40-SUP;B;Uchwyt rolotoku;R40-SUP;FLEXLOGIK;H. Mech.;-;-;H;-;-;-;8
;;M22-I1;A;Obudowa;M22-I1;EATON;H. Elek.;-;-;H;-;-;-;1
;-;_C8525_200C_ROD_4;0;;;;;-;-;H;-;-;;2
;-;_CD85N25_200C_B_0__BODY_2;0;;;;;-;-;H;-;-;;2
;-;_C8525__ROD_NUT;0;;;;;-;-;H;-;-;;2
;-;_C8525_MOUNTING_NUT;0;;;Materiał <nieokreślony>;;-;-;H;-;-;;2
;; Zawór zwrotny sterowany ASP330F-01-06S;B;Zawór zwrotny sterowany R1/8 (Fi 6);ASP330F-01-06S;SMC;H. Mech.;-;-;H;-;-;;4
;;0002_Spadnie_Płytka_Siłownika_2;A;Płytka mocowania siłownika;-;S235JR/1.0037;Laser;-;wg wykazu;O;-;-;-;2
;;0002_Spadnie_Profil Windy L=417;D;Profil 40x40;3 842 993 120;Profile BOSCH;H. Mech.;-;-;P;-;-;-;2
;;0002_Spadnie_Mocowanie_czujnika;A;Mocowanie czujnika;-;S235JR/1.0037;Laser;-;wg wykazu;O;-;-;-;4
;;R40-PIA dł=608;G;Rolotok;R40-PIA;FLEXLOGIK;H. Mech.;-;-;H;-;-;-;4
;;0002_Spadnie_Plaskownik Prowadzacy 600 Lewy;E;Płaskownik prowadzący 600;-;0H18N9/1.4301;Laser;-;-;-;-;-;-;2
;;F-7;B;Pierścień ślizgowy;F-7;Trilogiq;H. Mech.;-;-;H;-;-;-;8
;;C5032;A;Wspornik montażowy;C5032;SMC;H. Mech.;-;-;H;-;-;-;2
;-;CP96SDB32-250C;0;Siłownik;CP96SDB32-250C;Złożenie;H. Mech.;-;-;H;-;-;-;2
;-;0002_Spadnie_Łącznik wagliwy_30;0;Łącznik;-;C45/1.0503;Skrawanie;-;Czernić;-;-;-;-;4
;-;0002_Spadnie_Dystans ramki kelnera;0;Dystans;-;S235JR/1.0037;Laser;-;Malować RAL 1003 (żółty);-;-;-;-;4
;;0002_Spadnie_Płytka_Siłownika;A;Płytka mocowania siłownika;-;S235JR/1.0037;Laser;-;wg wykazu;O;-;-;-;2
0;;H-8B;A;Złącze równoległe;H-8M;FLEXLOGIK;H. Mech.;-;-;H;-;-;-;8
;;0002_Spadnie_Plaskownik Prowadzacy 600 Prawy;E;Płaskownik prowadzący 600;-;0H18N9/1.4301;Laser;-;-;-;-;-;-;2
;;F-V2;C;Mocowanie;F-V2;Trilogiq;H. Mech.;-;-;H;-;-;-;16
;;D5032;A;Wspornik montażowy;D5032;SMC;H. Mech.;-;-;H;-;-;-;2
;;GKM10-20;B;Końcówka widełkowa;GKM10-20;SMC;H. Mech.;-;-;H;-;-;-;4
;;0002_Spadnie_Kątownik_mocujący;C;Kątownik mocujący;-;S235JR/1.0037;Laser;-;wg wykazu;O;-;-;-;4
;;0002_Spadnie_Kelner 400x600;F;Kelner 400x600;-;S235JR/1.0037;Laser;-;Malować RAL 1003 (żółty);-;-;-;-;2
;;0002_Spadnie_Mocowanie_Siłownika_2;A;Mocowanie siłownika;-;S235JR/1.0037;Laser;-;Malować RAL 1003 (żółty);-;-;-;-;2
;;0002_Spadnie_Winda kelnera 400x600;E;Winda kelnera 400x600;-;S235JR/1.0037;Laser;-;Malować RAL 1003 (żółty);-;-;-;-;2
;;C85T25;A;Wspornik wachliwy;C85T25;SMC;H. Mech.;-;-;H;-;-;-;2
2010;;SKF - Łożysko kulkowe - W 6200-2Z-arch;A;;;;;;;;-;-;;4
2010;;SMC - Końcówka widełkowa - GKM10-20 (25)-arch;A;;;SMC;;;;;-;-;;2
2010;;1067.MK.05.07.52.03 - tulejka-arch;A;;;B101;;40 HRC ±2HRC;;;-;-;;2
2010;;Essentra - Podkładka siodłowa - 102028059901-arch;A;;;Essentra;;;;;-;-;;12
2010;;1067.MK.05.07.52.04 - podstawa stopera-arch;A;;;45;;;Czernić;;-;-;;2
2010;;1067.MK.05.07.52.01 - stoper-arch;A;;;45;;40 HRC ±2HRC;Czernić;;-;-;;2
2010;;_A_CD85N25-50-B(0)_BODY-arch;A;;;;;;;;-;-;;2
2010;;_A_CD85N25-50-B(0)_ROD-arch;A;;;;;;;;-;-;;2
2010;;1067.MK.05.07.52.05 - mocowanie siłownika-arch;A;;;St3S;;;Cynkować na czarno;;-;-;;2
2010;;1067.MK.05.07.52.06 - śruba blokady-arch;A;;;45;;40 HRC ±2HRC;;;-;-;;4
2010;;1067.MK.05.07.52.02 - wałeczek-arch;A;;;45;;40 HRC ±2HRC;;;-;-;;2
2010;;SMC - Wspornik wahliwy - C85C25-arch;A;;;SMC;;;;;-;-;;2
;;RTG-3 L=2770;A;Banda;-;Flexlogik;H. Mech.;-;-;H;-;-;-;4
;;R40-PIA dł=2625;G;Rolotok;R40-PIA;FLEXLOGIK;H. Mech.;-;-;H;-;-;-;4
2010;720;PRT-A0071743;0;Osłona;-;PC (poliwęglan);Laser;-;Malować RAL 9002 (jasny szary);;-;-;-;1
;-;PJ-202;0;Uchwyt;-;FLEXLOGIC;-;-;-;H;-;-;-;4
;-;19 30 010 0547;0;Obudowa wtyczki Han 10B-gs-R-M32;19 30 010 0547;HARTING;H. Mech.;-;-;H;-;-;-;2
;-;SS5Y5-20-04-00F;0;Płyta przyłączeniowa;-;Materiał <nieokreślony>;H. Mech.;-;-;H;-;-;-;1
;-;SY5420-5WAOU-C6F-Q;0;Zawór rozdzielający 5/3 odpowietrzony;SY5420-5WAOU-C6F-Q;SMC;H. Mech.;-;-;H;-;-;-;2
;;RQSG 148;A;Złaczka prosta gwint zewnętrzny;RQSG 148;RQS;H. Mech.;-;-;H;-;-;-;1
;-;SY5120-5WAOU-C4F-Q;0;Zawór rozdzielający 5/2 monostabilny;SY5120-5WAOU-C4F-Q;SMC;H. Mech.;-;-;H;-;-;-;2
;;RQS ST-02;A;Tłumik;RQS ST-02;RQS;H. Mech.;-;-;H;-;-;-;2
;;Uni-1/T 43.11;B;Obudowa z tworzywa;Uni-1/T 43.11 IP65;ELEKTRO-PLAST;H. Mech.;-;-;H;-;-;-;1
;;przewód fi8 niebieski;A;;;;;-;-;H;-;-;;1
;;VZ14;A;Korek z kołnierzem;VZ14;RQS;H. Mech.;-;-;H;-;-;-;3
;;M22-WK;A;Przełącznik;M22-WK;EATON;H. Elek.;-;-;H;-;-;-;1
;;H-4B;B;Złącze 180°;H-4B;FLEXLOGIC;H. Mech.;-;-;H;-;-;-;6
2010;720;PRT-A0071435;0;Rama spadni OP 720.2 (400x600);-;FLEXLOGIK;-;-;-;-;-;-;-;1
;;H-1B;C;Złącze standardowe;H-1B;FLEXLOGIC;H. Mech.;-;-;H;-;-;-;108
;;AC-300S;C;Koło ze stopką;AC-300S;CARRYMASTER;H. Mech.;-;-;H;-;-;-;6
;;0002_Spadnie_Tuleja kółkostopki;E;Tulejka kółkostopki;-;1.0503 (C45);Skrawanie;-;Czernić;-;-;-;-;6
;;H-2B;B;Złącze 90° wewnętrzne;H-2B;FLEXLOGIC;H. Mech.;-;-;H;-;-;-;5
;;H-3B;B;Złącze 90° zewnętrzne;H-3B;FLEXLOGIC;H. Mech.;-;-;H;-;-;-;5
;;TAP-INT;B;Zaślepka;TAP-INT;FLEXLOGIK;H. Mech.;-;-;H;-;-;-;10
2010;720;PRT-A0071733;0;Mocowanie hartingu spadni bocznej;-;St3S;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;2
0;-;19 30 010 0292;0;Obudowa gniazda;19 30 010 0292;HARTING;-;-;-;H;-;-;19 30 010 0292;2
;;LH1D-H2HQ4C30RG;B;Lampka LED RG;LH1D-H2HQ4C30RG;IDEC;H. Elek.;-;-;H;-;-;-;8
2010;101;PRT-A0070580;A;Mocowanie trzpienia;-;PA6/3.1325;Skrawanie;-;-;-;-;-;-;6
2010;101;PRT-A0070581;A;Ślizg;-;PA 6 /Poliamid;Skrawanie;-;Kolor: Zielony;-;Z;-;-;6
2010;101;PRT-A0070590;A;Mocowanie kółka I;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;4
;-;K0080.0140;0;Zapięcie;K0080.0140;KIPP;H. Mech.;-;-;H;-;-;-;4
;;BPPG 0805 1000;A;Zestaw kołowy z hamulcem;BPPG 0805 1000;COLSON;H. Mech.;-;-;H;-;-;-;4
2010;101;PRT-A0070578;;Blacha mocująca zapięcie wózka uniwersalnego;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;2
2010;101;PRT-A0070583;A;Ślizg;-;PA 6 /Poliamid;Skrawanie;-;Kolor: Zielony;-;Z;-;-;6
;;093W403N10;C;Kątownik 40x80;093W403N10;FATH;H. Mech.;-;-;H;-;-;-;8
;-;K0630.23308;0;Trzpień montazowy M16x1.5;K0630.23308;KIPP;H. Mech.;-;-;H;-;-;-;6
;;0000_Stanowiska_Stożek wózka;E;Stożek wózka;-;40H/1.7035;Skrawanie;32 HRC±2HRC;Czernić;-;Z;-;-;4
2010;101;na 6 narzędzi;;Rama wózka;;Profile BOSCH;Profile;;;P;-;-;;1
2010;101;PRT-A0070579;A;Zderzak;-;C45/1.0503;Skrawanie;-;Czernić;-;Z;-;-;12
2010;101;PRT-A0070589;;Mocowanie;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;2
2010;000;PRT-A0069837;A;Paletka bazująca;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;3
2010;720;PRT-A0070314;A;Płyta OP720.2;-;PA13/3.3547;CNC;-;Anodować;-;-;-;-;1
2010;720;PRT-A0071448;B;Prowadzenie śruby;-;4H13/1.4034;Skrawanie;32 HRC±2HRC;-;-;-;-;-;2
2010;720;PRT-A0071446;A;Płyta klapki OP720.2;-;PA13/3.3547;Skrawanie;-;Anodować;-;-;-;-;1
2010;720;PRT-A0071149;0;Listwa prowadząca M400-II (1410);M-400 II;Trilogiq;H. Mech.;-;-;H;-;-;-;1
2010;720;PRT-A0071150;A;Mocowanie szyny;-;S235JR/1.0037;Laser;-;Malować RAL 9002 (jasny szary);-;-;-;-;4
